white_time,black_time,white_increment,black_increment

0:16,27:00,0:00,0:00

0:35,0:33,0:00,0:00

0:49,0:35,0:00,0:00

0:53,0:33,0:00,0:00

0:29,0:44,0:00,0:00

0:31,0:15,0:00,0:00
10:00,10:00,0:14,0:19
0:05,0:05,0:01,0:01
0:05,0:13,0:01,0:02
0:14,0:13,0:00,0:00
0:26,0:48,0:00,0:00
23:00:00,23:00:00,0:00,0:00
59:00,59:00,0:00,0:00
0:59,7:33,0:26,0:19
0:21,0:05,0:24,0:15
0:46,0:27,0:00,0:00
0:48,0:31,0:00,0:00
0:59,0:59,0:00,0:00
0:59,0:43,0:00,0:00
31:00,33:00,0:00,0:00
0:31,0:43,0:00,0:00
37:00,31:00,0:00,0:00
0:20,0:19,0:00,0:00
